OPIS Truckstop ID,Truckstop Name,Address,City,State,Rack ID,Retail Price,Latitude,Longitude,Geocoding_Timestamp,Geocoding_Status
281,CIRCLE K #4700065,"I-65, EXIT 76 & US-31",Taylorsville,IN,375,3.399,38.31006,-85.7522,2025-01-27T22:17:22.496494,SUCCESS
289,LOVES TRAVEL STOP #173,"I-70, MM 209",Lawrence,KS,553,3.229,39.0088,-95.15844,2025-01-27T22:17:23.046492,SUCCESS
292,PETES #56,US-169 & CR-5000,Cherryvale,KS,307,3.23233333,37.26714,-95.56837,2025-01-27T22:17:23.638666,SUCCESS
293,LOVES TRAVEL STOP #176,"I-35, MILE MARKER 97",Matfield Green,KS,336,3.25566666,38.18295,-96.4599,2025-01-27T22:17:24.238666,SUCCESS
304,FL Roberts,"I-91, EXIT 4",Springfield,MA,100,3.599,42.15679,-72.6508,2025-01-27T22:17:24.820667,SUCCESS
309,QUIKTRIP #231,"I-635, EXIT 3",Kansas City,KS,400,3.199,39.09411,-94.68074,2025-01-27T22:17:25.402666,SUCCESS
323,SAPP BROS TRAVEL CENTER,"I-80, EXIT 126",Ogallala,NE,475,3.46566666,41.12633,-101.70816,2025-01-27T22:17:25.966817,SUCCESS
326,FLYING J TRAVEL PLAZA #748,"I-15, EXIT 357",Willard                                 ,UT,835,3.749,41.41592,-112.05062,2025-01-27T22:17:26.561816,SUCCESS
341,TA JACKSONVILLE SOUTH TRAVEL CENTER,"I-95, EXIT 329",Saint Johns,FL,75,3.469,30.07521,-81.4988,2025-01-27T22:17:27.163820,SUCCESS
347,7-ELEVEN #40514,I-90/80-IN TOLL RD MM 22E,Portage,IN,365,3.99066666,41.58019,-87.17322,2025-01-27T22:17:27.791819,SUCCESS
358,TA BINGHAMTON TRAVELCENTER,"I-81N, EXIT 2W & I-81S, EXIT 3",Binghamton,NY,32,3.769,42.16896,-75.89629,2025-01-27T22:17:28.393280,SUCCESS
361,CIRCLE K #2726293,"I-295, EXIT 25",Jacksonville,FL,75,3.31566666,30.36742,-81.76085,2025-01-27T22:17:28.961275,SUCCESS
368,WILTON TRAVEL PLAZA,"I-87, EXIT 16",Gansevoort                              ,NY,12,3.749,43.16653,-73.71416,2025-01-27T22:17:29.532276,SUCCESS
372,GAS DEPOT,"I-94, EXIT 5",Hammond,IN,365,3.999,41.57131,-87.43889,2025-01-27T22:17:30.110277,SUCCESS
381,7-Eleven #41830,US-69 & US-135,Jacksonville,TX,630,2.91566666,31.96669,-95.274,2025-01-27T22:17:30.705386,SUCCESS
387,Circle K #2709664,"I-8, EXIT 12",Yuma,AZ,930,3.489,32.67038,-114.44936,2025-01-27T22:17:31.267389,SUCCESS
388,Pilot Travel Centers #14,"I-71, EXIT 131",Sunbury,OH,315,3.719,40.26938,-82.92728,2025-01-27T22:17:31.829390,SUCCESS
391,PILOT TRAVEL CENTERS #13,"I-71, EXIT 209",Seville,OH,305,3.699,43.40826,-84.82666,2025-01-27T22:17:32.403386,SUCCESS
